time,date_str,date,RATE,ACRR,DBZH,REFL-BT,all_vars,split,split_type
000000,20190215,2019-02-15,1,1,1,1,1,training,-
001500,20190215,2019-02-15,1,1,1,1,1,training,-
003000,20190215,2019-02-15,1,1,1,1,1,training,-
004500,20190215,2019-02-15,1,1,1,1,1,training,-
010000,20190215,2019-02-15,1,1,1,1,1,training,-
011500,20190215,2019-02-15,1,1,1,1,1,training,-
013000,20190215,2019-02-15,1,1,1,1,1,training,-
014500,20190215,2019-02-15,1,1,1,1,1,training,-
020000,20190215,2019-02-15,1,1,1,1,1,training,-
021500,20190215,2019-02-15,1,1,1,1,1,training,-
023000,20190215,2019-02-15,1,1,1,1,1,training,-
024500,20190215,2019-02-15,1,1,1,1,1,training,-
030000,20190215,2019-02-15,1,1,1,1,1,training,-
031500,20190215,2019-02-15,1,1,1,1,1,training,-
033000,20190215,2019-02-15,1,1,1,1,1,training,-
034500,20190215,2019-02-15,1,1,1,1,1,training,-
040000,20190215,2019-02-15,1,1,1,1,1,training,-
041500,20190215,2019-02-15,1,1,1,1,1,training,-
043000,20190215,2019-02-15,1,1,1,1,1,training,-
044500,20190215,2019-02-15,1,1,1,1,1,training,-
050000,20190215,2019-02-15,1,1,1,1,1,training,-
051500,20190215,2019-02-15,1,1,1,1,1,training,-
053000,20190215,2019-02-15,1,1,1,1,1,training,-
054500,20190215,2019-02-15,1,1,1,1,1,training,-
060000,20190215,2019-02-15,1,1,1,1,1,training,-
061500,20190215,2019-02-15,1,1,1,1,1,training,-
063000,20190215,2019-02-15,1,1,1,1,1,training,-
064500,20190215,2019-02-15,1,1,1,1,1,training,-
070000,20190215,2019-02-15,1,1,1,1,1,training,-
071500,20190215,2019-02-15,1,1,1,1,1,training,-
073000,20190215,2019-02-15,1,1,1,1,1,training,-
074500,20190215,2019-02-15,1,1,1,1,1,training,-
080000,20190215,2019-02-15,1,1,1,1,1,training,-
081500,20190215,2019-02-15,1,1,1,1,1,training,-
083000,20190215,2019-02-15,1,1,1,1,1,training,-
084500,20190215,2019-02-15,1,1,1,1,1,training,-
090000,20190215,2019-02-15,1,1,1,1,1,training,-
091500,20190215,2019-02-15,1,1,1,1,1,training,-
093000,20190215,2019-02-15,1,1,1,1,1,training,-
094500,20190215,2019-02-15,1,1,1,1,1,training,-
100000,20190215,2019-02-15,1,1,1,1,1,training,-
101500,20190215,2019-02-15,1,1,1,1,1,training,-
103000,20190215,2019-02-15,1,1,1,1,1,training,-
104500,20190215,2019-02-15,1,1,1,1,1,training,-
110000,20190215,2019-02-15,1,1,1,1,1,training,-
111500,20190215,2019-02-15,1,1,1,1,1,training,-
113000,20190215,2019-02-15,1,1,1,1,1,training,-
114500,20190215,2019-02-15,1,1,1,1,1,training,-
120000,20190215,2019-02-15,1,1,1,1,1,training,-
121500,20190215,2019-02-15,1,1,1,1,1,training,-
123000,20190215,2019-02-15,1,1,1,1,1,training,-
124500,20190215,2019-02-15,1,1,1,1,1,training,-
130000,20190215,2019-02-15,1,1,1,1,1,training,-
131500,20190215,2019-02-15,1,1,1,1,1,training,-
133000,20190215,2019-02-15,1,1,1,1,1,training,-
134500,20190215,2019-02-15,1,1,1,1,1,training,-
